date,datetime,SPOSTMIN,SACTMIN
5/28/2017,5/28/2017 21:59,-999,
5/28/2017,5/28/2017 22:03,-999,
5/28/2017,5/28/2017 22:10,-999,
5/28/2017,5/28/2017 22:17,-999,
5/28/2017,5/28/2017 22:24,-999,
5/28/2017,5/28/2017 22:31,-999,
5/28/2017,5/28/2017 22:38,-999,
5/28/2017,5/28/2017 22:45,-999,
5/28/2017,5/28/2017 22:52,-999,
5/28/2017,5/28/2017 22:59,-999,
5/28/2017,5/28/2017 23:03,-999,
5/28/2017,5/28/2017 23:10,-999,
5/28/2017,5/28/2017 23:17,180,
5/28/2017,5/28/2017 23:24,180,
5/28/2017,5/28/2017 23:30,180,
5/29/2017,5/29/2017 7:08,-999,
5/29/2017,5/29/2017 7:08,-999,
5/29/2017,5/29/2017 7:10,25,
5/29/2017,5/29/2017 7:17,45,
5/29/2017,5/29/2017 6:59,,21
5/29/2017,5/29/2017 7:24,60,
5/29/2017,5/29/2017 7:30,60,
5/29/2017,5/29/2017 7:38,80,
5/29/2017,5/29/2017 7:45,80,
5/29/2017,5/29/2017 7:52,80,
5/29/2017,5/29/2017 7:11,,33
5/29/2017,5/29/2017 7:59,80,
5/29/2017,5/29/2017 8:03,80,
5/29/2017,5/29/2017 8:10,-999,
5/29/2017,5/29/2017 8:10,125,
5/29/2017,5/29/2017 8:17,125,
5/29/2017,5/29/2017 7:18,,65
5/29/2017,5/29/2017 8:24,150,
5/29/2017,5/29/2017 8:30,150,
5/29/2017,5/29/2017 8:39,-999,
5/29/2017,5/29/2017 8:45,225,
5/29/2017,5/29/2017 8:52,225,
5/29/2017,5/29/2017 9:03,225,
5/29/2017,5/29/2017 9:10,225,
5/29/2017,5/29/2017 9:17,225,
5/29/2017,5/29/2017 9:24,225,
5/29/2017,5/29/2017 9:30,225,
5/29/2017,5/29/2017 9:38,225,
5/29/2017,5/29/2017 9:52,225,
5/29/2017,5/29/2017 9:59,225,
5/29/2017,5/29/2017 10:03,225,
5/29/2017,5/29/2017 10:10,225,
5/29/2017,5/29/2017 10:17,225,
5/29/2017,5/29/2017 10:24,225,
5/29/2017,5/29/2017 10:38,225,
5/29/2017,5/29/2017 10:45,225,
5/29/2017,5/29/2017 10:52,200,
5/29/2017,5/29/2017 10:59,200,
5/29/2017,5/29/2017 11:03,200,
5/29/2017,5/29/2017 11:10,200,
5/29/2017,5/29/2017 11:17,200,
5/29/2017,5/29/2017 11:24,200,
5/29/2017,5/29/2017 11:38,200,
5/29/2017,5/29/2017 11:45,200,
5/29/2017,5/29/2017 11:52,160,
5/29/2017,5/29/2017 11:59,160,
5/29/2017,5/29/2017 12:03,160,
5/29/2017,5/29/2017 12:10,160,
5/29/2017,5/29/2017 12:24,160,
5/29/2017,5/29/2017 12:38,160,
5/29/2017,5/29/2017 12:45,160,
5/29/2017,5/29/2017 12:52,160,
5/29/2017,5/29/2017 12:59,160,
5/29/2017,5/29/2017 13:03,110,
5/29/2017,5/29/2017 13:10,110,
5/29/2017,5/29/2017 13:17,95,
5/29/2017,5/29/2017 13:24,95,
5/29/2017,5/29/2017 13:30,90,
5/29/2017,5/29/2017 13:38,85,
5/29/2017,5/29/2017 13:52,85,
5/29/2017,5/29/2017 13:59,90,
5/29/2017,5/29/2017 14:03,95,
5/29/2017,5/29/2017 14:10,95,
5/29/2017,5/29/2017 14:17,100,
5/29/2017,5/29/2017 14:24,100,
5/29/2017,5/29/2017 14:30,115,
5/29/2017,5/29/2017 14:38,115,
5/29/2017,5/29/2017 14:52,115,
5/29/2017,5/29/2017 14:59,115,
5/29/2017,5/29/2017 15:03,150,
5/29/2017,5/29/2017 15:10,150,
5/29/2017,5/29/2017 15:17,150,
5/29/2017,5/29/2017 15:24,150,
5/29/2017,5/29/2017 15:30,150,
5/29/2017,5/29/2017 15:38,185,
5/29/2017,5/29/2017 15:52,185,
5/29/2017,5/29/2017 15:59,185,
5/29/2017,5/29/2017 16:03,185,
5/29/2017,5/29/2017 16:10,185,
5/29/2017,5/29/2017 16:17,185,
5/29/2017,5/29/2017 16:24,185,
5/29/2017,5/29/2017 16:38,185,
5/29/2017,5/29/2017 16:45,170,
5/29/2017,5/29/2017 16:59,170,
5/29/2017,5/29/2017 17:10,170,
5/29/2017,5/29/2017 17:17,170,
5/29/2017,5/29/2017 17:24,170,
5/29/2017,5/29/2017 17:30,170,
5/29/2017,5/29/2017 17:38,145,
5/29/2017,5/29/2017 17:45,145,
5/29/2017,5/29/2017 17:52,130,
5/29/2017,5/29/2017 17:59,140,
5/29/2017,5/29/2017 18:03,140,
5/29/2017,5/29/2017 18:10,140,
5/29/2017,5/29/2017 18:17,140,
5/29/2017,5/29/2017 18:24,140,
5/29/2017,5/29/2017 18:30,140,
5/29/2017,5/29/2017 18:38,140,
5/29/2017,5/29/2017 18:45,140,
5/29/2017,5/29/2017 18:46,-999,
5/29/2017,5/29/2017 18:55,-999,
5/29/2017,5/29/2017 18:59,140,
5/29/2017,5/29/2017 19:03,140,
5/29/2017,5/29/2017 19:10,140,
5/29/2017,5/29/2017 19:17,120,
5/29/2017,5/29/2017 19:24,120,
5/29/2017,5/29/2017 19:30,145,
5/29/2017,5/29/2017 19:38,130,
5/29/2017,5/29/2017 19:45,130,
5/29/2017,5/29/2017 19:52,130,
5/29/2017,5/29/2017 19:59,130,
5/29/2017,5/29/2017 20:03,130,
5/29/2017,5/29/2017 20:10,130,
5/29/2017,5/29/2017 20:17,115,
5/29/2017,5/29/2017 20:24,115,
5/29/2017,5/29/2017 20:30,115,
5/29/2017,5/29/2017 20:38,115,
5/29/2017,5/29/2017 20:45,135,
5/29/2017,5/29/2017 20:52,135,
5/29/2017,5/29/2017 20:59,135,
5/29/2017,5/29/2017 21:10,145,
5/29/2017,5/29/2017 21:17,145,
5/29/2017,5/29/2017 21:24,145,
5/29/2017,5/29/2017 21:30,145,
5/29/2017,5/29/2017 21:38,-999,
5/29/2017,5/29/2017 21:43,-999,
5/29/2017,5/29/2017 21:45,-999,
5/29/2017,5/29/2017 21:52,-999,
5/29/2017,5/29/2017 21:59,-999,
5/29/2017,5/29/2017 22:03,-999,
5/29/2017,5/29/2017 22:10,-999,
5/29/2017,5/29/2017 22:17,-999,
5/29/2017,5/29/2017 22:24,-999,
5/29/2017,5/29/2017 22:30,-999,
5/29/2017,5/29/2017 22:38,-999,
5/29/2017,5/29/2017 22:45,-999,
5/29/2017,5/29/2017 22:52,-999,
5/29/2017,5/29/2017 22:59,-999,
5/29/2017,5/29/2017 23:03,-999,
5/29/2017,5/29/2017 23:10,-999,
5/29/2017,5/29/2017 23:17,90,
5/29/2017,5/29/2017 23:24,90,
5/29/2017,5/29/2017 23:30,90,
5/29/2017,5/29/2017 23:38,90,
5/29/2017,5/29/2017 23:45,90,
5/29/2017,5/29/2017 23:52,75,
5/29/2017,5/29/2017 23:59,75,
5/29/2017,5/30/2017 0:03,75,
5/29/2017,5/30/2017 0:10,75,
5/29/2017,5/30/2017 0:17,75,
5/29/2017,5/30/2017 0:30,40,
5/29/2017,5/30/2017 0:38,70,
5/29/2017,5/30/2017 0:45,70,
5/29/2017,5/30/2017 0:52,70,
5/29/2017,5/30/2017 0:02,,59
5/30/2017,5/30/2017 7:52,5,
5/30/2017,5/30/2017 7:59,5,
5/30/2017,5/30/2017 8:03,5,
5/30/2017,5/30/2017 8:07,-999,
5/30/2017,5/30/2017 8:10,5,
5/30/2017,5/30/2017 8:17,60,
5/30/2017,5/30/2017 8:24,75,
5/30/2017,5/30/2017 8:29,-999,
5/30/2017,5/30/2017 8:30,110,
5/30/2017,5/30/2017 8:38,120,
5/30/2017,5/30/2017 8:07,,31
5/30/2017,5/30/2017 8:45,180,
5/30/2017,5/30/2017 8:52,180,
5/30/2017,5/30/2017 8:59,180,
5/30/2017,5/30/2017 9:03,180,
5/30/2017,5/30/2017 9:10,180,
5/30/2017,5/30/2017 9:17,210,
5/30/2017,5/30/2017 9:24,210,
5/30/2017,5/30/2017 9:30,-999,
5/30/2017,5/30/2017 9:30,-999,
5/30/2017,5/30/2017 9:30,210,
5/30/2017,5/30/2017 9:38,210,
5/30/2017,5/30/2017 9:45,210,
5/30/2017,5/30/2017 9:52,240,
5/30/2017,5/30/2017 9:59,240,
5/30/2017,5/30/2017 10:03,240,
5/30/2017,5/30/2017 10:10,240,
5/30/2017,5/30/2017 10:17,240,
5/30/2017,5/30/2017 10:24,240,
5/30/2017,5/30/2017 10:30,240,
5/30/2017,5/30/2017 10:38,240,
5/30/2017,5/30/2017 10:52,240,
5/30/2017,5/30/2017 10:59,240,
