date,datetime,SPOSTMIN,SACTMIN
7/19/2018,7/19/2018 12:23,35,
7/19/2018,7/19/2018 12:29,35,
7/19/2018,7/19/2018 12:37,40,
7/19/2018,7/19/2018 12:44,35,
7/19/2018,7/19/2018 12:51,35,
7/19/2018,7/19/2018 12:58,35,
7/19/2018,7/19/2018 13:01,40,
7/19/2018,7/19/2018 13:02,40,
7/19/2018,7/19/2018 13:09,40,
7/19/2018,7/19/2018 13:16,35,
7/19/2018,7/19/2018 13:23,35,
7/19/2018,7/19/2018 13:29,35,
7/19/2018,7/19/2018 13:37,30,
7/19/2018,7/19/2018 13:44,30,
7/19/2018,7/19/2018 13:51,35,
7/19/2018,7/19/2018 13:58,50,
7/19/2018,7/19/2018 14:02,50,
7/19/2018,7/19/2018 14:09,55,
7/19/2018,7/19/2018 14:16,55,
7/19/2018,7/19/2018 14:23,55,
7/19/2018,7/19/2018 14:29,55,
7/19/2018,7/19/2018 14:37,55,
7/19/2018,7/19/2018 14:44,55,
7/19/2018,7/19/2018 14:51,55,
7/19/2018,7/19/2018 14:58,60,
7/19/2018,7/19/2018 15:02,65,
7/19/2018,7/19/2018 15:09,70,
7/19/2018,7/19/2018 15:16,65,
7/19/2018,7/19/2018 15:23,65,
7/19/2018,7/19/2018 15:29,60,
7/19/2018,7/19/2018 15:37,30,
7/19/2018,7/19/2018 15:44,30,
7/19/2018,7/19/2018 15:51,30,
7/19/2018,7/19/2018 15:58,30,
7/19/2018,7/19/2018 16:02,30,
7/19/2018,7/19/2018 16:08,35,
7/19/2018,7/19/2018 16:09,35,
7/19/2018,7/19/2018 16:16,40,
7/19/2018,7/19/2018 16:23,40,
7/19/2018,7/19/2018 16:29,45,
7/19/2018,7/19/2018 16:37,40,
7/19/2018,7/19/2018 16:44,35,
7/19/2018,7/19/2018 16:08,,38
7/19/2018,7/19/2018 16:51,35,
7/19/2018,7/19/2018 16:58,45,
7/19/2018,7/19/2018 16:59,45,
7/19/2018,7/19/2018 17:02,45,
7/19/2018,7/19/2018 17:09,40,
7/19/2018,7/19/2018 17:16,40,
7/19/2018,7/19/2018 17:23,35,
7/19/2018,7/19/2018 17:29,35,
7/19/2018,7/19/2018 17:37,35,
7/19/2018,7/19/2018 17:44,35,
7/19/2018,7/19/2018 17:51,35,
